pod,time,kwh
KOCSMA,2018-11-06 05:00:00+00:00,66.39
KOCSMA,2018-11-06 06:00:00+00:00,58.67
KOCSMA,2018-11-06 07:00:00+00:00,56.41
KOCSMA,2018-11-06 08:00:00+00:00,54.27
KOCSMA,2018-11-06 09:00:00+00:00,50.94
KOCSMA,2018-11-06 10:00:00+00:00,49.76
KOCSMA,2018-11-06 11:00:00+00:00,47.62
KOCSMA,2018-11-06 12:00:00+00:00,44.3
KOCSMA,2018-11-06 13:00:00+00:00,42.04
KOCSMA,2018-11-06 14:00:00+00:00,35.39
KOCSMA,2018-11-06 15:00:00+00:00,36.47
KOCSMA,2018-11-06 16:00:00+00:00,29.92
KOCSMA,2018-11-06 17:00:00+00:00,22.09
KOCSMA,2018-11-06 18:00:00+00:00,25.42
KOCSMA,2018-11-06 19:00:00+00:00,27.67
KOCSMA,2018-11-06 20:00:00+00:00,25.42
KOCSMA,2018-11-06 21:00:00+00:00,28.74
KOCSMA,2018-11-06 22:00:00+00:00,28.74
KOCSMA,2018-11-06 23:00:00+00:00,29.92
KOCSMA,2018-11-07 00:00:00+00:00,31.0
KOCSMA,2018-11-07 01:00:00+00:00,34.32
KOCSMA,2018-11-07 02:00:00+00:00,34.32
KOCSMA,2018-11-07 03:00:00+00:00,35.39
KOCSMA,2018-11-07 04:00:00+00:00,40.97
KOCSMA,2018-11-07 05:00:00+00:00,64.22
KOCSMA,2018-11-07 06:00:00+00:00,57.58
KOCSMA,2018-11-07 07:00:00+00:00,55.33
KOCSMA,2018-11-07 08:00:00+00:00,52.0
KOCSMA,2018-11-07 09:00:00+00:00,52.0
KOCSMA,2018-11-07 10:00:00+00:00,46.43
KOCSMA,2018-11-07 11:00:00+00:00,45.35
KOCSMA,2018-11-07 12:00:00+00:00,45.35
KOCSMA,2018-11-07 13:00:00+00:00,44.28
KOCSMA,2018-11-07 14:00:00+00:00,36.56
KOCSMA,2018-11-07 15:00:00+00:00,37.63
KOCSMA,2018-11-07 16:00:00+00:00,33.24
KOCSMA,2018-11-07 17:00:00+00:00,23.27
KOCSMA,2018-11-07 18:00:00+00:00,23.27
KOCSMA,2018-11-07 19:00:00+00:00,26.59
KOCSMA,2018-11-07 20:00:00+00:00,29.91
KOCSMA,2018-11-07 21:00:00+00:00,27.66
KOCSMA,2018-11-07 22:00:00+00:00,28.73
KOCSMA,2018-11-07 23:00:00+00:00,29.91
KOCSMA,2018-11-08 00:00:00+00:00,29.91
KOCSMA,2018-11-08 01:00:00+00:00,35.38
KOCSMA,2018-11-08 02:00:00+00:00,36.56
KOCSMA,2018-11-08 03:00:00+00:00,37.63
KOCSMA,2018-11-08 04:00:00+00:00,42.03
KOCSMA,2018-11-08 05:00:00+00:00,65.88
KOCSMA,2018-11-08 06:00:00+00:00,58.05
KOCSMA,2018-11-08 07:00:00+00:00,56.86
KOCSMA,2018-11-08 08:00:00+00:00,51.29
KOCSMA,2018-11-08 09:00:00+00:00,50.21
KOCSMA,2018-11-08 10:00:00+00:00,47.96
KOCSMA,2018-11-08 11:00:00+00:00,47.96
KOCSMA,2018-11-08 12:00:00+00:00,44.63
KOCSMA,2018-11-08 13:00:00+00:00,41.31
KOCSMA,2018-11-08 14:00:00+00:00,32.4
KOCSMA,2018-11-08 15:00:00+00:00,36.8
KOCSMA,2018-11-08 16:00:00+00:00,31.22
KOCSMA,2018-11-08 17:00:00+00:00,25.64
KOCSMA,2018-11-08 18:00:00+00:00,27.9
KOCSMA,2018-11-08 19:00:00+00:00,33.48
KOCSMA,2018-11-08 20:00:00+00:00,37.98
KOCSMA,2018-11-08 21:00:00+00:00,36.8
KOCSMA,2018-11-08 22:00:00+00:00,37.98
KOCSMA,2018-11-08 23:00:00+00:00,37.98
KOCSMA,2018-11-09 00:00:00+00:00,42.38
KOCSMA,2018-11-09 01:00:00+00:00,43.56
KOCSMA,2018-11-09 02:00:00+00:00,42.38
KOCSMA,2018-11-09 03:00:00+00:00,42.38
KOCSMA,2018-11-09 04:00:00+00:00,51.29
KOCSMA,2018-11-09 05:00:00+00:00,69.08
KOCSMA,2018-11-09 06:00:00+00:00,64.57
KOCSMA,2018-11-09 07:00:00+00:00,63.5
KOCSMA,2018-11-09 08:00:00+00:00,60.17
KOCSMA,2018-11-09 09:00:00+00:00,54.6
KOCSMA,2018-11-09 10:00:00+00:00,52.34
KOCSMA,2018-11-09 11:00:00+00:00,52.34
KOCSMA,2018-11-09 12:00:00+00:00,49.02
KOCSMA,2018-11-09 13:00:00+00:00,50.09
KOCSMA,2018-11-09 14:00:00+00:00,39.04
KOCSMA,2018-11-09 15:00:00+00:00,44.51
KOCSMA,2018-11-09 16:00:00+00:00,35.61
KOCSMA,2018-11-09 17:00:00+00:00,26.71
KOCSMA,2018-11-09 18:00:00+00:00,32.29
KOCSMA,2018-11-09 19:00:00+00:00,34.54
KOCSMA,2018-11-09 20:00:00+00:00,36.79
KOCSMA,2018-11-09 21:00:00+00:00,39.04
KOCSMA,2018-11-09 22:00:00+00:00,37.86
KOCSMA,2018-11-09 23:00:00+00:00,37.86
KOCSMA,2018-11-10 00:00:00+00:00,37.86
KOCSMA,2018-11-10 01:00:00+00:00,41.19
KOCSMA,2018-11-10 02:00:00+00:00,39.04
KOCSMA,2018-11-10 03:00:00+00:00,39.04
KOCSMA,2018-11-10 04:00:00+00:00,46.77
KOCSMA,2018-11-10 05:00:00+00:00,64.79
KOCSMA,2018-11-10 06:00:00+00:00,60.29
KOCSMA,2018-11-10 07:00:00+00:00,58.03
KOCSMA,2018-11-10 08:00:00+00:00,55.78
KOCSMA,2018-11-10 09:00:00+00:00,52.46
KOCSMA,2018-11-10 10:00:00+00:00,52.46
KOCSMA,2018-11-10 11:00:00+00:00,49.13
KOCSMA,2018-11-10 12:00:00+00:00,49.13
KOCSMA,2018-11-10 13:00:00+00:00,45.8
KOCSMA,2018-11-10 14:00:00+00:00,37.97
KOCSMA,2018-11-10 15:00:00+00:00,46.88
KOCSMA,2018-11-10 16:00:00+00:00,41.3
KOCSMA,2018-11-10 17:00:00+00:00,29.07
KOCSMA,2018-11-10 18:00:00+00:00,35.72
KOCSMA,2018-11-10 19:00:00+00:00,35.72
KOCSMA,2018-11-10 20:00:00+00:00,37.97
KOCSMA,2018-11-10 21:00:00+00:00,37.97
KOCSMA,2018-11-10 22:00:00+00:00,36.79
KOCSMA,2018-11-10 23:00:00+00:00,37.97
KOCSMA,2018-11-11 00:00:00+00:00,36.79
KOCSMA,2018-11-11 01:00:00+00:00,37.97
KOCSMA,2018-11-11 02:00:00+00:00,36.79
KOCSMA,2018-11-11 03:00:00+00:00,36.79
KOCSMA,2018-11-11 04:00:00+00:00,37.97
KOCSMA,2018-11-11 05:00:00+00:00,36.69
