"id";"created_at";"updated_at";"row_version";"date_time";"resolution";"temperature";"source";"estimated";"location__id"
1953448;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 04:00:00+00";"PT60M";10,07;"D";TRUE;1
1953449;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 05:00:00+00";"PT60M";10;"D";TRUE;1
1953450;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 06:00:00+00";"PT60M";10,13;"D";TRUE;1
1953451;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 07:00:00+00";"PT60M";11,11;"D";TRUE;1
1953452;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 08:00:00+00";"PT60M";12,59;"D";TRUE;1
1953453;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 09:00:00+00";"PT60M";13,97;"D";TRUE;1
1953454;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 10:00:00+00";"PT60M";15,68;"D";TRUE;1
1953455;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 11:00:00+00";"PT60M";16,91;"D";TRUE;1
1953456;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 12:00:00+00";"PT60M";17,61;"D";TRUE;1
1953457;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 13:00:00+00";"PT60M";17,44;"D";TRUE;1
1953458;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 14:00:00+00";"PT60M";16,69;"D";TRUE;1
1953459;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 15:00:00+00";"PT60M";15,66;"D";TRUE;1
1953460;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 16:00:00+00";"PT60M";15,04;"D";TRUE;1
1953461;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 17:00:00+00";"PT60M";14,28;"D";TRUE;1
1953462;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 18:00:00+00";"PT60M";13,72;"D";TRUE;1
1953463;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 19:00:00+00";"PT60M";13,21;"D";TRUE;1
1953464;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 20:00:00+00";"PT60M";12,76;"D";TRUE;1
1953465;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 21:00:00+00";"PT60M";12,37;"D";TRUE;1
1953466;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 22:00:00+00";"PT60M";11,91;"D";TRUE;1
1953467;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-24 23:00:00+00";"PT60M";11,31;"D";TRUE;1
1953468;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 00:00:00+00";"PT60M";10,81;"D";TRUE;1
1953469;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 01:00:00+00";"PT60M";10,33;"D";TRUE;1
1953470;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 02:00:00+00";"PT60M";9,9;"D";TRUE;1
1953471;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 03:00:00+00";"PT60M";9,77;"D";TRUE;1
1953472;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 04:00:00+00";"PT60M";9,88;"D";TRUE;1
1953473;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 05:00:00+00";"PT60M";10,07;"D";TRUE;1
1953474;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 06:00:00+00";"PT60M";10,46;"D";TRUE;1
1953475;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 07:00:00+00";"PT60M";11,09;"D";TRUE;1
1953476;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 08:00:00+00";"PT60M";11,94;"D";TRUE;1
1953477;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 09:00:00+00";"PT60M";12,9;"D";TRUE;1
1953478;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 10:00:00+00";"PT60M";13,91;"D";TRUE;1
1953479;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 11:00:00+00";"PT60M";15,15;"D";TRUE;1
1953480;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 12:00:00+00";"PT60M";16,26;"D";TRUE;1
1953481;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 13:00:00+00";"PT60M";16,95;"D";TRUE;1
1953482;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 14:00:00+00";"PT60M";16,7;"D";TRUE;1
1953483;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 15:00:00+00";"PT60M";15,98;"D";TRUE;1
1953484;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 16:00:00+00";"PT60M";15,15;"D";TRUE;1
1953485;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 17:00:00+00";"PT60M";14,56;"D";TRUE;1
1953486;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 18:00:00+00";"PT60M";13,94;"D";TRUE;1
1953487;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 19:00:00+00";"PT60M";13,6;"D";TRUE;1
1953488;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 20:00:00+00";"PT60M";13,46;"D";TRUE;1
1953489;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 21:00:00+00";"PT60M";13,23;"D";TRUE;1
1953490;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 22:00:00+00";"PT60M";13,09;"D";TRUE;1
1953491;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-25 23:00:00+00";"PT60M";13,05;"D";TRUE;1
1953492;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 00:00:00+00";"PT60M";12,94;"D";TRUE;1
1953493;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 01:00:00+00";"PT60M";13,03;"D";TRUE;1
1953494;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 02:00:00+00";"PT60M";13,02;"D";TRUE;1
1953495;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 03:00:00+00";"PT60M";13,08;"D";TRUE;1
1953496;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 04:00:00+00";"PT60M";13,09;"D";TRUE;1
1953497;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 05:00:00+00";"PT60M";13,08;"D";TRUE;1
1953498;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 06:00:00+00";"PT60M";13,08;"D";TRUE;1
1953499;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 07:00:00+00";"PT60M";13;"D";TRUE;1
1953500;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 08:00:00+00";"PT60M";12,97;"D";TRUE;1
1953501;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 09:00:00+00";"PT60M";13,25;"D";TRUE;1
1953502;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 10:00:00+00";"PT60M";14,07;"D";TRUE;1
1953503;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 11:00:00+00";"PT60M";15,52;"D";TRUE;1
1953504;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 12:00:00+00";"PT60M";16,71;"D";TRUE;1
1953505;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 13:00:00+00";"PT60M";17,29;"D";TRUE;1
1953506;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 14:00:00+00";"PT60M";17,06;"D";TRUE;1
1953507;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 15:00:00+00";"PT60M";16,55;"D";TRUE;1
1953508;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 16:00:00+00";"PT60M";15,98;"D";TRUE;1
1953509;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 17:00:00+00";"PT60M";15,49;"D";TRUE;1
1953510;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 18:00:00+00";"PT60M";14,94;"D";TRUE;1
1953511;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 19:00:00+00";"PT60M";14,68;"D";TRUE;1
1953512;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 20:00:00+00";"PT60M";14,4;"D";TRUE;1
1953513;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 21:00:00+00";"PT60M";14,17;"D";TRUE;1
1953514;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 22:00:00+00";"PT60M";14,05;"D";TRUE;1
1953515;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 23:00:00+00";"PT60M";13,97;"D";TRUE;1
1953516;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 00:00:00+00";"PT60M";13,73;"D";TRUE;1
1953517;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 01:00:00+00";"PT60M";13,24;"D";TRUE;1
1953518;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 02:00:00+00";"PT60M";12,65;"D";TRUE;1
1953519;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 03:00:00+00";"PT60M";12,03;"D";TRUE;1
1953520;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 04:00:00+00";"PT60M";11,35;"D";TRUE;1
1953521;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 05:00:00+00";"PT60M";10,76;"D";TRUE;1
1953522;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 06:00:00+00";"PT60M";10,54;"D";TRUE;1
1953523;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 07:00:00+00";"PT60M";11,17;"D";TRUE;1
1953524;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 08:00:00+00";"PT60M";12,21;"D";TRUE;1
1953525;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 09:00:00+00";"PT60M";13,56;"D";TRUE;1
